iter	Passed	Remaining
0	1117	71542
1	2002	63082
2	3046	62968
3	4013	61205
4	4938	59263
5	5843	57459
6	6788	56248
7	7786	55479
8	8730	54323
9	9669	53180
10	10595	52014
11	11530	50927
12	12491	49965
13	13501	49182
14	14449	48165
15	15414	47206
16	16364	46206
17	17328	45245
18	18333	44385
19	19322	43476
20	20222	42371
21	21178	41393
22	22138	40426
23	23083	39433
24	23993	38389
25	24955	37433
26	25873	36414
27	26840	35467
28	27825	34542
29	28853	33662
30	29795	32678
31	30729	31690
32	31696	30736
33	32621	29743
34	33837	29003
35	34784	28020
36	35780	27076
37	36753	26114
38	37685	25123
39	38675	24172
40	39699	23238
41	40661	22266
42	41639	21304
43	42632	20347
44	43635	19393
45	44558	18404
46	45499	17425
47	46487	16464
48	47469	15500
49	48560	14568
50	49518	13593
51	50509	12627
52	51434	11645
53	52382	10670
54	53294	9689
55	54245	8718
56	55204	7748
57	56162	6778
58	57163	5813
59	58166	4847
60	59178	3880
61	60132	2909
62	61078	1938
63	62065	969
64	63067	0
